"","State","County","Year","NO2.AQI_mean","O3.AQI_mean","SO2.AQI_mean","CO.AQI_mean"
"40","Arizona","Pima",2016,22.4505494505494,38.0879120879121,0.043956043956044,4.8021978021978
"41","Arkansas","Pulaski",2007,22.8873626373626,34.9450549450549,6.4478021978022,8.39010989010989
"42","Arkansas","Pulaski",2008,19.8387978142077,32.3579234972678,4.52732240437158,6.45901639344262
"43","Arkansas","Pulaski",2009,18.8493150684932,31.6904109589041,4.46301369863014,6.24657534246575
"44","Arkansas","Pulaski",2010,21.8090277777778,36.0152777777778,3.01111111111111,6.48611111111111
"45","Arkansas","Pulaski",2011,21.1150684931507,35.7013698630137,2.98630136986301,6.17808219178082
"46","Arkansas","Pulaski",2012,23.7756497948016,36.4829001367989,2.78522571819425,6.45964432284542
"47","Arkansas","Pulaski",2013,22.013698630137,35.6767123287671,2.43150684931507,5.42876712328767
"48","Arkansas","Pulaski",2014,20.041095890411,33.372602739726,2.32602739726027,4.77808219178082
"49","Arkansas","Pulaski",2015,19.4230769230769,33.456043956044,2.36538461538462,4.25
"50","Arkansas","Pulaski",2016,20.2747252747253,32.8241758241758,0.824175824175824,4.63736263736264
"51","California","Alameda",2001,36.2272727272727,15.7727272727273,6.40909090909091,17.2272727272727
"52","California","Alameda",2002,30.3112391930836,24.2420749279539,5.8299711815562,13.2680115273775
"53","California","Alameda",2003,30.890756302521,25.218487394958,7.9327731092437,15.5210084033613
"54","California","Alameda",2007,30.9583333333333,17.8333333333333,5.41666666666667,9.16666666666667
"55","California","Alameda",2008,23.7044198895028,22.0966850828729,3.70165745856354,4.96961325966851
"56","California","Alameda",2009,21.9452054794521,20.9643835616438,3.44383561643836,5.67123287671233
"57","California","Alameda",2010,22.2036553524804,21.9738903394256,2.44647519582245,5.19321148825065
"58","California","Alameda",2011,24.8191780821918,21.2876712328767,3.06301369863014,6.42739726027397
"59","California","Alameda",2012,23.8676056338028,22.712676056338,2.96619718309859,7.34366197183099
"60","California","Alameda",2013,25.1510989010989,21.0274725274725,2.49175824175824,8.04395604395604
"61","California","Alameda",2014,23.0602739726027,25.6547945205479,2.1013698630137,7.84931506849315
"62","California","Alameda",2015,22.7582417582418,25.3049450549451,2.28021978021978,8.28571428571429
"63","California","Alameda",2016,24.8205128205128,27.008547008547,2.25641025641026,8.2991452991453
"64","California","Contra Costa",2000,22.5933609958506,28.6867219917012,5.88727524204703,8.26694329183956
"65","California","Contra Costa",2001,22.8102529960053,30.5479360852197,6.68242343541944,7.28894806924101
"66","California","Contra Costa",2002,22.2282608695652,31.4588100686499,7.59725400457666,7.11670480549199
